宝贝ID,最低（售价）,最低（实付）
13039229118,119.0,0.0
8853555499,349.5,349.5
9988549379,349.5,0.0
10838935929,229.5,0.0
10478210479,399.5,0.0
8079674335,249.0,0.0
12740647228,120.6,0.0
12962510967,80.0,80.0
10839680633,329.5,44.61
13950496945,184.0,184.0
7821361219,128.0,47.76
13279123374,134.0,134.0
8858649661,229.5,41.83
13005861346,164.0,0.0
13864412624,80.0,0.0
13279011761,164.0,164.0
7647235885,192.6,0.0
13677511564,449.5,429.5
13272703141,379.0,0.0
8848177115,14.0,14.0
12987911594,134.0,134.0
10132505011,199.0,0.0
10056425353,449.5,0.0
13672516667,158.0,0.0
12734853641,100.0,300.0
13334459056,214.0,214.0
13177251301,124.0,124.0
8847668919,149.0,149.0
12676529193,72,0.0
8851012445,299.0,299.0
12749430960,298.0,298.0
13865228686,159.0,32.65
10580501917,248.0,248.0
9955010307,329.5,0.0
8859075865,433.0,433.0
13178455603,14.0,2.24
12818979632,80.0,0.0
13219467149,80.0,0.0
9917810319,164.0,164.0
7884140287,1899.0,1899.0
13001145571,399.0,399.0
9964102203,249.5,0.0
8006522649,98.0,0.0
12961010488,80.0,60.0
7715453463,14.0,2.24
13172349612,680.0,680.0
13352856316,449.5,449.5
9801686171,214.0,39.37
7931682495,79.0,0.0
13400976295,298.0,298.0
13046710481,109.0,109.0
12962269919,80.0,0.0
8047097899,100.0,0.0
13541137677,379,0.0
9959372317,299.0,47.88
13005809341,80.0,0.0
8861369987,299.0,9.5
13564093008,299.4,280.66
9910092977,199.0,199.0
10464237357,279.0,279.0
9801856321,164.0,164.0
14026811109,283.0,229.54
13333735135,279.5,279.5
14026355013,249.5,0.0
13563226519,249.5,0.0
8839870989,184.0,184.0
13563390189,599.0,479.2
7863083771,459.0,459.0
13000569111,461.0,461.0
7834207043,80.0,60.5
13558902261,559.0,447.2
9153892415,389.5,389.5
12818935599,80.0,0.0
15077152479,239.0,0.0
8862178737,299.0,51.73
12661514120,169.0,0.0
12930913446,99.0,20.22
13005697580,80.0,0.0
14109723545,459.0,376.38
14038687009,498.0,498.0
14828644402,699.0,699.0
13564761344,321.0,0.0
14026747126,459.0,321.3
13855080455,279.0,0.0
13650242868,335.4,34.62
10015271941,329.5,0.0
14661576077,898.0,0.0
14971124643,311.0,254.45
13593609207,559.0,391.3
9795423757,164.0,164.0
9956553343,249.5,249.5
9791718713,2489.0,2489.0
13612702117,459.0,321.3
10131689127,719.0,719.0
13029039276,399.0,0.0
10131534291,719.0,719.0
12661562424,80.0,0.0
15066160958,318.0,260.18
13563829160,659.0,461.3
15093368317,359.0,213.25
